Binomial,Stage1,cytb,coi,nd2,nd3,rag1,bfib5,bfib7,gapdh,myo,odc
Ceryle_rudis,1,NA,NA,DQ111840,AY998961,DQ111801,NA,NA,NA,NA,NA
Cettia_acanthizoides,1,DQ364116,NA,NA,NA,NA,NA,NA,DQ364123,DQ364127,NA
Cettia_annae,1,DQ288970,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cettia_brunnescens,1,DQ364119,NA,NA,NA,NA,NA,NA,DQ364126,DQ364131,NA
Cettia_cetti,1,AJ004312,GQ481547,AY382353,NA,NA,NA,NA,DQ364121,DQ008561,NA
Cettia_diphone,1,AB159194,GQ481555,AY382355,NA,NA,EU680634,NA,NA,EU680584,EU680714
Cettia_flavolivacea,1,DQ673882,NA,NA,NA,NA,NA,NA,NA,DQ673895,NA
Cettia_fortipes,1,DQ673885,NA,DQ125976,DQ837490,NA,NA,NA,NA,DQ673897,NA
Cettia_parens,1,DQ288966,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cettia_ruficapilla,1,DQ288968,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cettia_seebohmi,1,AB281096,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cettia_vulcania,1,DQ673877,NA,NA,NA,NA,NA,NA,NA,DQ673890,NA
Ceuthmochares_aereus,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Ceyx_erithaca,1,U89182,NA,NA,EF585332,DQ111796,NA,NA,*GQ861138,GQ861142,NA
Ceyx_fallax,1,NA,NA,DQ640784,NA,NA,NA,NA,NA,DQ640813,NA
Ceyx_lecontei,1,NA,NA,DQ111838,EF585333,DQ111799,NA,NA,NA,DQ640823,NA
Ceyx_lepidus,1,NA,NA,DQ640790,AY998934,DQ111797,NA,NA,NA,DQ640816,NA
Ceyx_madagascariensis,1,NA,NA,DQ111837,AY998946,DQ111798,NA,NA,NA,DQ640824,NA
Ceyx_melanurus,1,NA,NA,DQ640785,AY998940,NA,NA,NA,NA,DQ640814,NA
Ceyx_pictus,1,EU166977,NA,EF585388,EF585334,DQ111800,NA,NA,NA,AY165813,NA
Ceyx_rufidorsa,1,NA,NA,DQ640793,AY998937,NA,NA,NA,GQ861139,GQ861163,NA
Chaetocercus_bombus,1,NA,NA,GU167213,NA,NA,NA,GU167103 - Bfib intron 7,NA,NA,GU166966
Chaetocercus_mulsant,1,NA,NA,AY830456,NA,NA,NA,AY830607 - Bfib intron 7,NA,NA,GU166967
Chaetops_frenatus,1,AY228052,NA,NA,NA,AY443266,EU680635,NA,EF441212,AY228289,EU680715
Chaetorhynchus_papuensis,1,NA,NA,GQ145383,GQ145421,AY443267,GQ145350,NA,EU726206,EU726214,EU726224
Chaetura_chapmani,1,FJ588454,NA,AY294539,NA,NA,NA,NA,NA,NA,NA
Chaetura_cinereiventris,1,AY294478,U83786,AY294540,AF076299,NA,NA,NA,NA,NA,NA
Chaetura_pelagica,1,AF168105,EF373361,AY294537,NA,EF373495,NA,AY830606 - Bfib intron 7,NA,NA,GU166935
Chaetura_vauxi,1,AY294476,DQ433484,AY294538,NA,NA,NA,NA,NA,NA,NA
Chaimarrornis_leucocephalus,1,DQ285432,NA,GU358782,NA,NA,NA,NA,GU358977,GU358714,HM633696
Chalcophaps_indica,1,AF483325,EU541467,NA,NA,NA,NA,AY443694 - intron 7,NA,NA,NA
Chalcophaps_stephani,1,AY443673,EF373365,EF373328,NA,EF373498,NA,AY443695 - intron 7,NA,NA,NA
Chalcopsitta_atra,1,AB177956,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chalcopsitta_cardinalis,1,AF346320,NA,NA,NA,NA,EU739227,EU739385 extraction,NA,EU739937,NA
Chalcopsitta_duivenbodei,1,AB177969,EU621604,EU327607,NA,NA,NA,NA,NA,NA,NA
Chalcopsitta_sintillata,1,AB177955,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chalcostigma_herrani,1,AF022674,NA,EU042536,NA,NA,NA,EU042372 extraction (reversed),NA,NA,GU166968
Chalcostigma_olivaceum,1,NA,NA,GU166848,NA,NA,NA,GU166839 - Bfib intron 7,NA,NA,NA
Chalcostigma_ruficeps,1,AF022673,NA,AY830469,NA,NA,NA,AY830620 - Bfib intron 7,NA,NA,GU166969
Chalcostigma_stanleyi,1,NA,NA,GU167255,NA,NA,NA,GU167144 - Bfib intron 7,NA,NA,GU167090
Chalybura_buffonii,1,NA,NA,EU042537,NA,NA,NA,EU042373 extraction (reversed),NA,NA,GU166970
Chalybura_urochrysia,1,NA,NA,EU042538,NA,NA,NA,EU042374 extraction (reversed),NA,NA,GU166971
Chamaea_fasciata,1,DQ109846,DQ432841,DQ861975,NA,FJ358091,NA,NA,FJ357856,FJ357927,FJ358025
Chamaepetes_goudotii,1,AF165467,AF165491,AY140741,NA,AY140769,NA,NA,NA,NA,NA
Chamaepetes_unicolor,1,AY659796,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaeza_campanisona,1,EF639942,NA,EF640009,EF640076,NA,NA,GU371838,NA,NA,NA
Chamaeza_meruloides,1,AY065718,NA,NA,NA,AY065747,GQ140162,NA,NA,AY065776,GQ140072
Chamaeza_mollissima,1,AY370537,NA,AY370574,NA,NA,NA,NA,NA,NA,NA
Chamaeza_nobilis,1,NA,NA,NA,NA,FJ461211,NA,NA,NA,NA,NA
Charadrius_alexandrinus,1,AF417931,AY666380,NA,AM941588,NA,NA,NA,NA,NA,NA
Charadrius_alticola,1,NA,FJ027341,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_australis,1,EF373148,NA,EF373256,NA,EF373199,NA,NA,NA,NA,NA
Charadrius_bicinctus,1,U62685,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_collaris,1,U62687,FJ027344,NA,NA,AY339106,NA,DQ881950,NA,AY339079,DQ881725
Charadrius_dubius,1,NA,GQ481565,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_falklandicus,1,U62689,FJ027345,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_hiaticula,1,NA,DQ432844,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_leschenaultii,1,NA,DQ432845,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_marginatus,1,NA,NA,NA,AM941565,NA,NA,NA,NA,NA,NA
Charadrius_melodus,1,NA,DQ433490,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_modestus,1,U62693,FJ027348,NA,FM995618,NA,NA,NA,NA,NA,NA
Charadrius_mongolus,1,AF417927,GQ481571,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_montanus,1,U62695,AY666259,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_ruficapillus,1,U62701,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_semipalmatus,1,EU166986,DQ433494,EU166929,NA,NA,NA,NA,AF339355,NA,NA
Charadrius_veredus,1,U62707,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_vociferus,1,DQ485890,DQ385167,DQ385082,DQ385099,AF143736,EU739228,AY695205,NA,EU739938,NA
Charadrius_wilsonia,1,NA,AY666175,NA,NA,NA,NA,NA,NA,NA,NA
Charmosyna_papou,1,AF346349,EU621605,EU327608,NA,NA,NA,NA,NA,NA,NA
Charmosyna_placentis,1,AB177954,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charmosyna_pulchella,1,NA,NA,NA,NA,GQ505237,NA,NA,NA,NA,NA
Charmosyna_rubronotata,1,AF346347,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chasiempis_sandwichensis,1,NA,NA,DQ084096,NA,NA,NA,NA,NA,DQ084118,NA
Chauna_torquata,1,AY140736,AY140730,AY140738,NA,AF143728,EU739229,EU739387 extraction,NA,EU739939,DQ881793
Chelidorhynx_hypoxantha,1,EF081357,EF422248,GQ145403,GQ145441,NA,GQ369620,NA,GQ369630,GQ369639,GQ369664
Chen_caerulescens,1,X75772,DQ433498,NA,NA,NA,NA,NA,NA,NA,NA
Chen_canagica,1,AY072603,DQ432849,EU585678,NA,NA,NA,NA,NA,NA,NA
Chen_rossii,1,AY072602,DQ434538,EU585683,NA,NA,NA,NA,NA,NA,NA
Chenonetta_jubata,1,AF059100,NA,AF059160,NA,NA,NA,NA,NA,NA,NA
Cheramoeca_leucosterna,1,AY825956,NA,AY826013,NA,NA,NA,AY827428 - beta-fibrinogen intron 7,NA,NA,NA
Chersomanes_albofasciata,1,AY165165,NA,GQ505877,NA,NA,EU680636,NA,NA,EU680604,EU680716
Chersophilus_duponti,1,NA,NA,EF488005,NA,NA,NA,NA,NA,NA,NA
Chionis_albus,1,NA,NA,NA,NA,AY339107,NA,NA,NA,AY339080,NA
Chionis_minor,1,DQ385221,DQ385170,DQ385085,DQ385102,AY228782,NA,NA,NA,NA,NA
Chiroxiphia_boliviana,1,NA,NA,NA,NA,FJ501611,NA,NA,NA,NA,NA
Chiroxiphia_caudata,1,AF453819,FJ027349,AY136620,NA,AF453802,AY136616,NA,DQ435462,DQ435516,DQ435477
Chiroxiphia_linearis,1,NA,EF111030,GU985493,NA,NA,NA,NA,NA,NA,NA
Chiroxiphia_pareola,1,EF633391,NA,NA,NA,NA,NA,EU522597 - intron 7,NA,NA,EU522516
Chlamydera_cerviniventris,1,U76504,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamydera_lauterbachi,1,U76506,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamydera_maculata,1,U10364,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamydera_nuchalis,1,U10372,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamydochaera_jefferyi,1,AY752379,NA,AY752337,NA,NA,NA,NA,NA,EU154695,EU154809
Chlamydotis_undulata,1,AJ511448,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlidonias_hybrida,1,AY631287,GQ481576,AY631359,NA,NA,NA,NA,NA,NA,NA
Chlidonias_leucopterus,1,AY631288,EU525339,AY631360,NA,EF373175,NA,NA,FM210018,NA,NA
Chlidonias_niger,1,AY631289,EU525342,AY631361,NA,NA,NA,NA,FM210019,NA,NA
Chloephaga_melanoptera,1,AF173763,NA,HM063565,NA,NA,NA,NA,NA,NA,NA
Chloephaga_picta,1,AF515262,FJ027353,AF515266,NA,NA,NA,NA,NA,NA,NA
Chloephaga_poliocephala,1,EU585637,FJ027355,EU585700,NA,NA,NA,NA,NA,NA,NA
Chlorestes_notata,1,NA,NA,EU042539,NA,NA,NA,EU042375 extraction (reversed),NA,NA,GU166972
Chloroceryle_aenea,1,AF441632,EU442304,DQ111846,NA,DQ111807,NA,NA,NA,NA,NA
Chloroceryle_amazona,1,NA,FJ027358,DQ111847,NA,DQ111808,NA,NA,NA,NA,NA
Chloroceryle_americana,1,U89183,EU442312,DQ111844,AY998962,DQ111805,NA,NA,NA,AY165806,NA
Chloroceryle_inda,1,NA,NA,DQ111845,NA,DQ111806,NA,NA,NA,NA,NA
Chlorocharis_emiliae,1,NA,NA,FJ460796,FJ460864,NA,NA,NA,NA,NA,NA
Chlorochrysa_calliparaea,1,AY383095,NA,AY383168,NA,NA,NA,NA,NA,NA,NA
Chlorochrysa_nitidissima,1,EU647981,NA,EU648030,NA,NA,NA,NA,NA,NA,NA
Chlorochrysa_phoenicotis,1,AY383094,NA,AY383167,NA,NA,NA,NA,NA,NA,NA
Chlorocichla_flavicollis,1,NA,NA,DQ402205,DQ402266,NA,EF626721,DQ402318 (reversed),NA,EF625259,EF625310
Chlorocichla_flaviventris,1,AY228053,NA,GQ242087,AY590758,AY228009,EF626720,GQ242066 (reversed),NA,AY228290,EF625309
Chloropeta_gracilirostris,1,AJ004765,NA,NA,NA,NA,NA,NA,NA,FJ883113,FJ883149
Chloropeta_natalensis,1,DQ008523,NA,NA,NA,NA,NA,NA,NA,FJ883114,FJ883150
Chloropeta_similis,1,FJ899738,NA,NA,NA,NA,NA,NA,NA,FJ883125,FJ883159
Chlorophanes_spiza,1,GU215292,NA,GU215403,NA,NA,NA,NA,NA,NA,NA
Chlorophonia_flavirostris,1,AF006216,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorophonia_occipitalis,1,EF529956,NA,EF529844,NA,NA,NA,NA,NA,NA,NA
Chloropsis_aurifrons,1,NA,NA,NA,NA,NA,EU680637,NA,NA,EU680611,EU680717
Chloropsis_cochinchinensis,1,NA,NA,NA,NA,AY056984,NA,NA,NA,NA,NA
Chloropsis_hardwickii,1,NA,NA,GQ145276,GQ145234,NA,NA,NA,NA,NA,NA
Chlorornis_riefferii,1,AY383093,NA,AY383166,NA,NA,NA,NA,NA,NA,NA
Chlorospingus_canigularis,1,FJ222654,NA,AF447272,NA,NA,NA,NA,NA,NA,NA
Chlorospingus_flavigularis,1,EF529935,NA,EF529825,NA,NA,NA,NA,NA,NA,NA
Chlorospingus_inornatus,1,EU427676,EU427658,NA,NA,NA,NA,NA,NA,NA,NA
Chlorospingus_ophthalmicus,1,EU427669,EU427649,EU427687,NA,NA,NA,NA,NA,NA,NA
Chlorospingus_parvirostris,1,NA,NA,AY039283,NA,NA,NA,NA,NA,NA,NA
Chlorospingus_pileatus,1,AF006218,EU427659,EU427693,NA,NA,NA,NA,NA,NA,NA
Chlorospingus_semifuscus,1,EU427678,EU427660,EU427694,NA,NA,NA,NA,NA,NA,NA
Chlorospingus_tacarcunae,1,EU427679,EU427661,EU427695,NA,NA,NA,NA,NA,NA,NA
Chlorostilbon_lucidus,1,U89181,FJ027366,GU167214,NA,NA,NA,GU167104 - Bfib intron 7,NA,NA,GU166973
Chlorostilbon_melanorhynchus,1,NA,NA,AY830470,NA,NA,NA,AY830621 - Bfib intron 7,NA,NA,GU166974
Chlorostilbon_mellisugus,1,NA,NA,AY830471,NA,NA,NA,AY830622,NA,NA,GU166975
Chlorostilbon_poortmani,1,NA,NA,GU167215,NA,NA,NA,GU167105 - Bfib intron 7,NA,NA,GU166976
Chlorothraupis_carmioli,1,AF006219,NA,EF529900,NA,NA,NA,NA,NA,NA,NA
Chlorothraupis_olivacea,1,EF530006,NA,EF529901,NA,NA,NA,NA,NA,NA,NA
Chlorothraupis_stolzmanni,1,EF530004,NA,EF529899,NA,NA,NA,NA,NA,NA,NA
Chondestes_grammacus,1,AF255704,DQ433505,NA,NA,NA,NA,NA,NA,NA,NA
Chondrohierax_uncinatus,1,AY987239,NA,AY987058,NA,NA,NA,AY987167 - intron 7,NA,NA,NA
Chondrohierax_wilsonii,1,EF494387,NA,EF494400,NA,NA,NA,NA,NA,NA,NA
Chordeiles_acutipennis,1,GU586663,DQ432851,NA,NA,DQ482629,NA,NA,NA,NA,NA
Chordeiles_minor,1,EU166983,DQ434540,EU166924,AF076349,NA,NA,AY695137,NA,NA,NA
Chordeiles_pusillus,1,GU586665,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chordeiles_rupestris,1,X95778,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysococcyx_basalis,1,NA,NA,DQ105456,NA,NA,NA,NA,NA,NA,NA
Chrysococcyx_caprius,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Chrysococcyx_cupreus,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Chrysococcyx_flavigularis,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Chrysococcyx_klaas,1,AF204981,NA,AF205010,NA,NA,NA,NA,NA,NA,NA
Chrysococcyx_lucidus,1,AF168109,AF168062,AF205011,NA,NA,NA,AY695226,NA,NA,NA
Chrysococcyx_maculatus,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Chrysococcyx_meyeri,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Chrysococcyx_minutillus,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Chrysococcyx_osculans,1,AF072623,NA,AF072592,NA,NA,NA,NA,NA,NA,NA
Chrysococcyx_xanthorhynchus,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Chrysocolaptes_lucidus,1,AY940797,AY940776,DQ479192,NA,NA,NA,DQ479201,NA,DQ352432,NA
Chrysolampis_mosquitus,1,NA,NA,EU042540,NA,NA,NA,EU042376 (reversed),NA,NA,GU166977
Chrysolophus_amherstiae,1,FJ752434,FJ752434,FJ752434,FJ752434,NA,NA,NA,NA,NA,NA
Chrysolophus_pictus,1,FJ752433,FJ752433,FJ752433,FJ752433,NA,NA,DQ306964,NA,NA,NA
Chrysomma_sinense,1,AF484843,NA,FJ357986,NA,FJ358092,NA,NA,FJ357857,FJ357928,FJ358026
Chrysomus_icterocephalus,1,AF089007,NA,AF109934,NA,NA,NA,NA,NA,NA,NA
Chrysomus_ruficapillus,1,AF089009,FJ027375,AF109935,NA,NA,NA,NA,NA,NA,NA
Chrysothlypis_chrysomelas,1,AF006220,NA,EF529845,NA,NA,NA,NA,NA,NA,NA
Chrysuronia_oenone,1,NA,NA,AY830472,NA,NA,NA,AY830623 - Bfib intron 7,NA,NA,GU166978
Chthonicola_sagittatus,1,NA,GU825768,GU825886,NA,GU825819,NA,NA,NA,NA,NA
Cichladusa_guttata,1,NA,NA,GU358783,NA,NA,NA,NA,GU358978,GU358715,GU358843
Cichlopsis_leucogenys,1,AF295081,NA,AY752339,NA,NA,NA,NA,NA,NA,NA
Cicinnurus_magnificus,1,EF592218  ,NA,EF592272 ,NA,NA,NA,NA,GQ334318,NA,GQ334283
Cicinnurus_regius,1,U15201,NA,NA,NA,NA,NA,NA,GQ334320,NA,GQ334285
Cicinnurus_respublica,1,U15200,NA,NA,NA,NA,NA,NA,GQ334319,NA,GQ334284
Ciconia_abdimii,1,U72774,NA,NA,NA,HM369458,NA,NA,NA,NA,NA
Ciconia_boyciana,1,NC_002196,NC_002196,NC_002196,NC_002196,NA,NA,NA,NA,NA,NA
Ciconia_ciconia,1,NC_002197,NC_002197,NC_002197,NC_002197,NA,EU739198,EF552758 - intron 7,NA,EU739908,EF552716
Ciconia_episcopus,1,U72775,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciconia_maguari,1,DQ485896,FJ027377,NA,NA,NA,NA,AY695228,NA,NA,NA
Ciconia_nigra,1,U72771,AY660580,NA,AY567924,NA,NA,NA,AF339348,NA,NA
Ciconia_stormi,1,U72776,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinclidium_diana,1,NA,NA,GU358784,NA,NA,NA,NA,GU358979,GU358716,GU358844
Cinclidium_frontale,1,NA,NA,GU358785,NA,NA,NA,NA,GU358980,GU358717,GU358845
Cinclidium_leucurum,1,HM633275,NA,GU358786,NA,NA,NA,NA,GU358981,GU358718,HM633697
Cinclocerthia_gutturalis,1,NA,AF140999,AF140887,NA,NA,NA,NA,NA,AF140875,NA
Cinclocerthia_ruficauda,1,HM222454,U91953,AF140888,NA,NA,EF468322,EF471843,NA,AF140876,NA
Cinclodes_albidiventris,1,NA,NA,NA,FJ799417,NA,NA,NA,NA,NA,NA
Cinclodes_antarcticus,1,NA,NA,NA,AY613353,NA,NA,NA,NA,NA,NA
Cinclodes_aricomae,1,GQ140075,NA,NA,AY613354,NA,GQ140127,NA,GQ140187,GQ140209,GQ140037
Cinclodes_atacamensis,1,GQ140076,FJ027379,NA,AY613355,NA,GQ140128,NA,GQ140188,GQ140210,GQ140038
Cinclodes_comechingonus,1,NA,NA,NA,AY613357,NA,NA,NA,NA,NA,NA
Cinclodes_excelsior,1,NA,NA,NA,AY613358,NA,NA,NA,NA,NA,NA
Cinclodes_fuscus,1,AY590044,FJ027383,NA,AY613359,NA,EF212087,EF635311,AY590065,AY590054,EF212134
Cinclodes_nigrofumosus,1,NA,NA,NA,AY613361,FJ461107,NA,EF635313,NA,NA,NA
Cinclodes_olrogi,1,NA,NA,NA,AY613362,NA,NA,NA,NA,NA,NA
Cinclodes_oustaleti,1,EU053992,NA,NA,AY613365,NA,NA,NA,EU054017,EU054005,NA
Cinclodes_pabsti,1,NA,NA,NA,AY613366,NA,NA,NA,NA,NA,NA
Cinclodes_palliatus,1,NA,NA,NA,AY613367,NA,NA,NA,NA,NA,NA
Cinclodes_patagonicus,1,NA,FJ027389,NA,AY613368,NA,NA,NA,NA,NA,NA
Cinclodes_taczanowskii,1,NA,NA,NA,AY613369,NA,NA,NA,NA,NA,NA
Cincloramphus_mathewsi,1,NA,NA,NA,NA,AY319978,NA,NA,NA,NA,NA
Cinclosoma_punctatum,1,FJ821112,NA,NA,NA,FJ821043,NA,NA,NA,FJ821080,NA
Cinclus_cinclus,1,AM502077,GQ481588,DQ146344,NA,AY056985,EU680638,NA,NA,AY228291,EU680718
Cinclus_mexicanus,1,AF285789,DQ433511,AY329417,NA,NA,NA,NA,NA,NA,NA
Cinclus_pallasii,1,EF621594,EF621618,AM712444,NA,AY307186,NA,NA,NA,NA,NA
Cinnycerthia_peruana,1,AY352525,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnyricinclus_femoralis,1,NA,NA,EF468217,NA,NA,NA,NA,NA,NA,NA
Cinnyricinclus_leucogaster,1,NA,EF484136,DQ466858,NA,DQ466797,EF468248,EF471767,EU551899,DQ466822,EU551930
Cinnyricinclus_sharpii,1,NA,EF484170,DQ466871,NA,AY307187,EF468278,EF471797,NA,DQ466833,NA
Circaetus_cinerascens,1,AY987257,NA,AY987076,NA,NA,NA,NA,NA,NA,NA
Circaetus_cinereus,1,AY987254,NA,AY987073,NA,NA,NA,AY987176 - intron 7,NA,NA,NA
Circaetus_fasciolatus,1,AY987256,NA,AY987075,NA,NA,NA,AY987177 - intron 7,NA,NA,NA
Circaetus_gallicus,1,AY987253,U83773,AY987072,NA,NA,NA,AY987175 - intron 7,NA,NA,NA
Circaetus_pectoralis,1,AY987252,NA,AY987071,NA,EF078721,NA,AY987174 - intron 7,NA,NA,NA
Circus_aeruginosus,1,AY987305,GQ481592,AY987127,NA,EF078722,NA,AY987208 - intron 7,NA,NA,NA
Circus_buffoni,1,NA,FJ027393,NA,NA,NA,NA,NA,NA,NA,NA
Circus_cinereus,1,NA,FJ027394,NA,NA,NA,NA,NA,NA,NA,NA
Circus_cyaneus,1,X86745,DQ433513,NA,NA,NA,NA,NA,NA,NA,NA
Circus_ranivorus,1,AY987306,NA,AY987128,NA,NA,NA,AY987209 - intron 7,NA,NA,NA
Cissa_chinensis,1,U86037,NA,NA,NA,NA,NA,AY395600,NA,AY395582,NA
Cissopis_leverianus,1,AY383096,NA,AY383169,NA,NA,NA,NA,NA,NA,NA
Cisticola_anonymus,1,FJ177320,NA,FJ177335,NA,AY056986,NA,NA,NA,NA,NA
Cisticola_brachypterus,1,NA,NA,NA,NA,NA,NA,NA,NA,DQ871391,NA
Cisticola_cantans,1,NA,NA,AY136593,NA,NA,NA,NA,NA,DQ871414,NA
Cisticola_cherina,1,AF094625,NA,DQ871377,NA,NA,NA,NA,NA,DQ871415,NA
Cisticola_fulvicapilla,1,NA,NA,AF407051,NA,NA,NA,NA,NA,NA,NA
Cisticola_galactotes,1,NA,NA,DQ871378,NA,NA,NA,NA,NA,DQ871416,NA
Cisticola_juncidis,1,AB239499,NA,NA,NA,NA,NA,NA,NA,DQ008544,NA
Cistothorus_palustris,1,AY352524,AY666554,AY460234,NA,NA,NA,NA,NA,NA,NA
Cistothorus_platensis,1,AY352526,FJ027397,AY460236,NA,NA,NA,NA,NA,NA,NA
Cittura_cyanotis,1,NA,NA,DQ111860,NA,DQ111821,NA,NA,NA,NA,NA
Cladorhynchus_leucocephalus,1,EF373125,NA,EF373232,NA,EF373176,NA,NA,NA,NA,NA
Clamator_coromandus,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Clamator_glandarius,1,AF072624,NA,AF072593,NA,NA,NA,NA,NA,NA,NA
Clamator_jacobinus,1,AF072625,NA,AF072594,NA,NA,NA,NA,NA,NA,NA
Clamator_levaillantii,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Clangula_hyemalis,1,EU585638,DQ434550,EU585701,NA,NA,NA,NA,NA,NA,NA
Claravis_pretiosa,1,AF182682,EF373366,EF373329,NA,EF373499,NA,AF182649 (reversed),NA,NA,NA
Cleptornis_marchei,1,NA,NA,FJ460824,NA,NA,NA,NA,NA,NA,NA
Clibanornis_dendrocolaptoides,1,GQ140096,NA,NA,NA,NA,GQ140146,NA,GQ140200,GQ140222,GQ140056
Climacteris_erythrops,1,NA,NA,NA,NA,AY443268,EU739231,EU739389 extraction,NA,EU739941,NA
Climacteris_picumnus,1,NA,NA,NA,NA,AY056987,NA,NA,NA,NA,NA
Climacteris_rufus,1,U58501,NA,AY064746,NA,AY037846,NA,NA,NA,AY064733,NA
Clypicterus_oseryi,1,AF472383,NA,AF472408,NA,NA,NA,NA,NA,NA,NA
Clytoceyx_rex,1,NA,NA,DQ111867,NA,DQ111828,NA,NA,NA,NA,NA
Clytorhynchus_hamlini,1,NA,NA,DQ084079,NA,NA,NA,NA,NA,DQ084106,NA
Clytorhynchus_pachycephaloides,1,NA,NA,DQ084080,NA,NA,NA,NA,NA,DQ084107,NA
Clytospiza_monteiri,1,NA,NA,AY323540,NA,NA,NA,NA,NA,NA,NA
Cnemarchus_erythropygius,1,NA,NA,NA,NA,FJ501614,NA,NA,EU231742,EU231840,EU231943
Cnemophilus_loriae,1,NA,NA,NA,NA,AY443269,NA,NA,EU272096,EU272107,EU272126
Cnemophilus_macgregorii,1,AF197841,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cnemoscopus_rubrirostris,1,AF006222,NA,AY180914,NA,NA,NA,NA,NA,NA,NA
Cnemotriccus_fuscatus,1,AY596278,AY596278,AY596278,AY596278,FJ501615,EU311044,NA,EU231727,EU231825,EU231928
Cnipodectes_subbrunneus,1,DQ294495,NA,DQ294540,DQ294409,FJ501616,DQ294452,NA,EU231663,EU231761,EU231863
Coccothraustes_coccothraustes,1,DQ792780,EF515789,FJ547508,EU881003,AY037855,EU680631,NA,NA,AY228292,EU680711
Coccothraustes_vespertinus,1,EF530032,AY666433,EF529923,NA,NA,NA,NA,NA,NA,NA
Coccycolius_iris,1,NA,EF484148,EF468118,NA,NA,EF468259,EF471778,NA,NA,NA
Coccycua_cinerea,1,NA,FJ027399,Sorenson,NA,NA,NA,NA,NA,NA,NA
Coccycua_minuta,1,AF204996,NA,AF205025,NA,NA,NA,NA,NA,NA,NA
Coccycua_pumila,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Coccyzus_americanus,1,AY046909,DQ432857,EU327609,NA,DQ482640,EU739232,AY695225,NA,EU739942,NA
Coccyzus_erythropthalmus,1,AF249272,DQ433515,AY274062,AF076351,NA,NA,NA,NA,NA,NA
Coccyzus_euleri,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Coccyzus_ferrugineus,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Coccyzus_lansbergi,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Coccyzus_longirostris,1,AF450495,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Coccyzus_melacoryphus,1,AF204994,FJ027400,AF205023,NA,NA,NA,NA,NA,NA,NA
Coccyzus_merlini,1,AF450493,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Coccyzus_minor,1,AF450497,DQ433516,Sorenson,NA,NA,NA,NA,NA,NA,NA
Coccyzus_pluvialis,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Coccyzus_rufigularis,1,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Coccyzus_vetula,1,AF450494,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Coccyzus_vieilloti,1,AF450496,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
