Clade,Clade Size,No. Taxa with Genetic Data,Average Decisiveness,Species Dropped,1st Outgroup,2nd Outgroup,Type of Stage1 Concensus Tree
Coraciidae,14,9,1,0,Alcedo_atthis,Brachypteracias_leptosomus,95
Cotingidae,68,41,0.791605263,6,Capsiempis_flaveola,Tyranneutes_stolzmanni,95
Cracidae,52,41,1,0,Alectura_lathami,Gallus_gallus,95
Cuculidae,144,128,1,0,Cursorius_temminckii,Myiarchus_swainsoni,95
Dendrocygninae,11,11,1,0,Anser_anser,Chauna_torquata,95
EurylaimidaePittidae,54,46,0.895,2,Capsiempis_flaveola,Sturnus_vulgaris,95
Falconidae,66,48,0.991733333,1,Parula_pitiayumi,Tyto_alba,95
Fregatidae,7,7,1,0,Procellaria_cinerea,Sula_dactylatra,95
Furnaridae,304,207,0.916956098,7,Formicarius_colma,Rhinocrypta_lanceolata,95
Galbulidae,20,6,0.365,2,Bucco_macrodactylus,Campethera_caroli,95
Gaviidae,7,7,1,0,Ciconia_ciconia,Fregata_magnificens,95
Gruidae,17,17,1,0,Fulica_americana,Psophia_viridis,95
Hemiprocnidae,6,5,0.707,1,Apus_affinis,Colibri_coruscans,95
Indicatoridae,19,6,1,0,Dryocopus_lineatus,Pteroglossus_bailloni,95
Lari,151,129,0.959285714,2,Arenaria_interpres,Turnix_sylvaticus,95
M1,131,93,1,0,Bombycilla_garrulus,Sialia_sialis,95
M2,12,12,1,0,Regulus_calendula,Sturnus_vulgaris,95
M3,7,5,1,0,Oenanthe_deserti,Toxostoma_curvirostre,95
M4,149,132,1,0,Certhia_familiaris,Ficedula_hypoleuca,95
M5,155,136,1,0,Cinclus_cinclus,Ficedula_hypoleuca,95
M6,300,233,0.974225108,2,Cinclus_cinclus,Turdus_falcklandii,95
Megapodiidae,23,16,1,0,Chauna_torquata,Gallus_gallus,95
Meropidae,28,25,1,0,Brachypteracias_squamiger,Todus_angustirostris,95
Motmotidae,12,7,1,0,Alcedo_atthis,Todus_mexicanus,95
Musophagidae,25,24,1,0,Himantopus_himantopus,Phaethon_rubricauda,95
Numididae,8,7,1,0,Chrysolophus_pictus,Crax_blumenbachii,95
Nyctibiidae,9,9,1,0,Brachypteracias_leptosomus,Hemiprocne_mystacea,95
Odontophoridae,35,11,1,0,Acryllium_vulturinum,Lophophorus_lhuysii,95
Otididae,27,26,1,0,Grus_japonensis,Phaethon_rubricauda,95
P1,6,6,1,0,Irena_cyanogastra,Saroglossa_aurata,95
P10,194,125,1,0,Geothlypis_aequinoctialis,Passer_montanus,95
P11,8,8,1,0,Carduelis_spinus,Parula_americana,95
P12,53,43,1,0,Coereba_flaveola,Myioborus_pictus,95
P13P14P16,221,160,1,0,Cardinalis_cardinalis,Loxigilla_portoricensis,95
P17P18,157,141,1,0,Emberizoides_herbicola,Saltator_atricollis,95
P19,18,14,1,0,Coryphospingus_cucullatus,Diuca_diuca,95
P2,174,81,0.963871795,1,Carduelis_spinus,Chloropsis_cochinchinensis,95
P20a,125,113,1,0,Agelasticus_cyanopus,Emberiza_schoeniclus,95
P20b,163,127,0.933136,3,Coereba_flaveola,Parula_pitiayumi,95
P21,104,94,1,0,Emberiza_schoeniclus,Parula_pitiayumi,95
P3,15,7,0.36975,2,Geothlypis_aequinoctialis,Modulatrix_stictigula,95
P5,16,10,0.747714286,1,Dicaeum_australe,Plectrophenax_nivalis,95
P6,118,43,0.868425,2,Carduelis_spinus,Vidua_macroura,95
P7,164,103,0.942782178,2,Carduelis_spinus,Euplectes_progne,75
P8,41,20,1,0,Carduelis_spinus,Motacilla_cinerea,95
P9,63,31,1,0,Carduelis_spinus,Passer_montanus,95
Paleognathae,60,28,0.901038462,1,Lepidocolaptes_angustirostris,Myiarchus_swainsoni,75
Pelecanidae,10,7,0.73375,1,Aptenodytes_patagonicus,Fregata_magnificens,95
Petroicidae,46,35,0.78146875,3,Parula_pitiayumi,Picathartes_gymnocephalus,95
Phaethontidae,5,5,1,0,Corythaeola_cristata,Phoenicopterus_chilensis,95
Phalacrocoracidae,35,14,1,0,Fregata_magnificens,Sula_dactylatra,95
Phasianidae,180,133,1,0,Callipepla_gambelii,Numida_meleagris,95
Phoenicopteridae,8,8,1,0,Grus_japonensis,Podiceps_cristatus,95
Phoeniculidae,10,5,1,0,Dryocopus_lineatus,Tockus_flavirostris,95
Picidae,224,139,1,0,Indicator_minor,Pteroglossus_castanotis,95
Pipridae,53,43,0.5935,9,Capsiempis_flaveola,Phytotoma_rutila,95
Podargidae,17,9,1,0,Chaetura_pelagica,Nyctibius_grandis,95
Podicipedidae,21,15,1,0,Grus_japonensis,Phoenicopterus_ruber,95
Procellariidae,130,107,1,0,Fregata_magnificens,Spheniscus_humboldti,95
Psittacidae1,171,113,0.725172727,14,Cacatua_sulphurea,Guaruba_guarouba,75
Psittacidae2,163,120,0.976076923,1,Cacatua_sulphurea,Eclectus_roratus,95
Psophidae,5,5,1,0,Grus_canadensis,Podica_senegalensis,95
Pteroclidae,18,8,0.5108,2,Circus_aeruginosus,Leptotila_rufaxilla,95
Rallidae,139,47,0.836068182,3,Grus_canadensis,Podiceps_cristatus,95
Ramphastidae,124,83,0.96355,1,Bucco_capensis,Dendrocopos_major,95
Regulus,8,8,1,0,Geothlypis_aequinoctialis,Sturnus_vulgaris,95
Rhinocryptidae,55,37,0.790323529,4,Hylopezus_berlepschi,Phleocryptes_melanops,95
S10,148,48,0.84876087,5,Pycnonotus_barbatus,Yuhina_gularis,95
S11,121,81,0.873461538,5,Sphenoeacus_afer,Yuhina_flavicollis,95
S12,75,51,1,0,Orthotomus_sutorius,Yuhina_flavicollis,95
S13,368,182,0.768178771,20,Orthotomus_sutorius,Sylvia_atricapilla,95
S2,76,57,1,0,Motacilla_alba,Pycnonotus_sinensis,95
S3,93,40,0.928564103,1,Nicator_chloris,Pycnonotus_sinensis,95
S4,20,13,0.629454545,3,Nicator_chloris,Pycnonotus_barbatus,95
S5,5,4,1,0,Apalis_thoracica,Chersophilus_duponti,95
S6,85,79,1,0,Phylloscopus_collybita,Pycnonotus_sinensis,95
S7S8,118,95,0.951043011,2,Hirundo_rustica,Yuhina_flavicollis,75
S9,130,97,0.9070213,5,Phylloscopus_collybita,Yuhina_flavicollis,95
Scolopaci,107,84,1,0,Burhinus_grallarius,Sterna_sandvicensis,95
Spheniscidae,20,20,1,0,Pelecanus_onocrotalus,Phoebastria_nigripes,95
Strigidae,193,103,0.96358,2,Caprimulgus_vociferus,Dendrocopos_major,95
Sulidae,12,12,1,0,Fregata_magnificens,Phalacrocorax_varius,95
Thamnophilidae,223,167,1,0,Capsiempis_flaveola,Phleocryptes_melanops,75
Threskiornithidae,36,20,0.632176471,3,Gavia_immer,Mycteria_americana,95
TitTyranRest,460,318,0.633288889,58,Cotinga_cayana,Lepidocolaptes_angustirostris,50
Todidae,7,7,1,0,Alcedo_atthis,Merops_viridis,95
Trochilidae,336,235,0.997579399,1,Aegotheles_insignis,Hemiprocne_mystacea,95
Trogonidae,45,41,1,0,Colius_striatus,Tyto_alba,95
Turnicidae,18,8,0.7266,1,Arenaria_interpres,Sterna_sandvicensis,95
Tytonidae,17,9,1,0,Colius_striatus,Trogon_viridis,95
Ericson backbone,160,151,0.982,0,NA,NA,NA
Hackett backbone,160,151,0.982,0,NA,NA,NA
